!EXCLAMATION-POINT	EH K S K L AH M EY SH AH N P OY N T
SALINGER(2)	S AE L IH N JH ER
SALINGERS(2)	S AE L IH N JH ER Z
SALTED(2)	S AO L T IH D
SALVAGE(2)	S AE L V IH JH
SALVATORE(2)	S AE L V AH D AO R
SALZBERG(2)	S AO L T S B ER G
SALZBURG(2)	S AO L T S B ER G
SALZHAUER(2)	S AO L T S AW R
SAMIR(2)	S AA M IH R
SAMPRE(2)	S AE M P ER
SAMURAI(2)	S AE M ER AY
SAMURAIS(2)	S AE M ER IH Z
SANCTION'S(2)	S AE NG SH AH N Z
SANCTION(2)	S AE NG SH AH N
SANCTIONED(2)	S AE NG SH AH N D
SANCTIONING(2)	S AE NG SH AH N IH NG
SANCTIONS'(2)	S AE NG SH AH N Z
SANCTIONS(2)	S AE NG SH AH N Z
SANDINISTA(2)	S AE N D IH N IY S T AH
SANDOS(2)	S AE N D OW S
SANDSTONE(2)	S AE N S T OW N
SANDTOWN(2)	S AE N T AW N
SANDWICH(2)	S AE N W IH CH
SANDWICH(3)	S AE M W IH CH
SANDWICHED(2)	S AE N W IH CH T
SANDWICHED(3)	S AE M W IH CH T
SANDWICHES(2)	S AE N W IH CH IH Z
SANDWICHES(3)	S AE M W IH CH IH Z
SANI(2)	S AE N IH
SANITATION(2)	S AE N IH T EY SH AH N
SANTA(2)	S AE N AH
SANTA-CROCE(2)	S AE N AH K R OW CH IY
SANTA-CRUZ(2)	S AE N AH K R UW Z
SANTA-FE'S(2)	S AE N AH F EY Z
SANTA-FE(2)	S AE N AH F EY
SANTA-MARIA(2)	S AE N AH M ER IY AH
SAPERSTEIN(2)	S EY P ER S T IY N
SARANDON(2)	S EH R AE N D IH N
SARATOV(2)	S EH R AH T AO F
SARDONICALLY(2)	S AA R D AA N IH K L IY
SASSAFRAS'S(2)	S AE S AH F R AE S IH Z
SATIRICAL(2)	S AH T IH R IH K AH L
SATISFACTION(2)	S AE T IH S F AE K SH AH N
SATISFACTORY(2)	S AE T IH S F AE K T ER IY
SATISFIED(2)	S AE T IH S F AY D
SATISFY(2)	S AE T IH S F AY
SATURATED(2)	S AE CH ER EY T IH D
SATURDAY'S(2)	S AE T ER D EY Z
SATURDAY(2)	S AE T IH D EY
SATURDAYS(2)	S AE T ER D EY Z
SAUCES(2)	S AO S IH Z
SAUDI(2)	S AW D IY
SAUDIA(2)	S AW D IY AH
SAUDIS'(2)	S AW D IY Z
SAUDIS(2)	S AW D IY Z
SAUSAGE(2)	S AO S IH JH
SAVAGE(2)	S AE V IH JH
SAVAGES(2)	S AE V IH JH IH Z
SAVINGS'S(2)	S EY V IH NG Z IH Z
SAVION(2)	S AE V Y AO N
SAVIR(2)	S AH V IY R
SAWYER(2)	S OY ER
SAYED(2)	S EY Y IH D
SAYED(3)	S EY D
SAYIID(2)	S AY IY D
SAYS(2)	S IH Z
SCALAMANDRE(2)	S K AE L AH M AE N D ER
SCALI(2)	S K EY L IY
SCALIA'S(2)	S K AA L Y AH Z
SCALIA(2)	S K AA L Y AH
SCEPTRE(2)	S K EH P T ER
SCHADLER(2)	SH EY D L ER
SCHAEDLER(2)	SH EH D L ER
SCHAUFLER(2)	SH AW F L ER
SCHEDLER(2)	SH EH D L ER
SCHEDULE(2)	S K EH JH UW L
SCHEDULED(2)	S K EH JH UW L D
SCHEDULER(2)	S K EH JH UW L ER
SCHEDULERS(2)	S K EH JH UW L ER Z
SCHEDULES(2)	S K EH JH UW L Z
SCHEDULING(2)	S K EH JH UW L IH NG
SCHEFFLER(2)	SH EH F L ER
SCHEIDLER(2)	SH AY D L ER
SCHERING(2)	SH EH R IH NG
SCHETTLER(2)	SH EH T L ER
SCHEUFLER(2)	SH OY F L ER
SCHICKLER(2)	SH IH K L ER
SCHICKLING(2)	SH IH K L IH NG
SCHIFERON'S(2)	SH IH F R AO N Z
SCHIFERON(2)	SH IH F R AO N
SCHIFFLER(2)	SH IH F L ER
SCHISLER(2)	SH IH S L ER
SCHISSLER(2)	SH IH S L ER
SCHLOESSER(2)	SH L AA S ER
SCHLUMBERGER(2)	SH L AH M B ER G ER
SCHMUTZLER(2)	SH M AH T Z L ER
SCHNETTLER(2)	SH N EH T L ER
SCHOEFFLER(2)	SH OW F L ER
SCHOTTENSTEIN(2)	SH AA T AH N S T AY N
SCHREFFLER(2)	SH R EH F L ER
SCHWARTZKOPF(2)	SH W AO R T S K AO F
SCHWARZKOPF'S(2)	SH W AO R T S K AO F S
SCHWARZKOPF(2)	SH W AO R T S K AO F
SCHWEGLER(2)	SH W EH G L ER
SCI(2)	EH S S IY AY
SCIENCES(2)	S AY AH N S IH Z
SCIENTIFICALLY(2)	S AY AH N T IH F IH K L IY
SCIENTISTS(2)	S AY N T IH S T S
SCIENTISTS(3)	S AY N T IH S
SCIENTISTS(4)	S AY AH N T IH S
SCIMECA(2)	S AY M EH K AH
SCOLDED(2)	S K OW L D IH D
SCOPOLAMINE(2)	S K OW P L AH M IY N
SCORSESE'S(2)	S K AO R S EY Z IY Z
SCORSESE(2)	S K AO R S EY Z IY
SCORTESE(2)	S K AO R T IY Z IY
SCOTTO(2)	S K AA T OW
SCOUR(2)	S K AW R
SCRAMBLING(2)	S K R AE M B L IH NG
SCRATCHES(2)	S K R AE CH IH Z
SCRIBBLING(2)	S K R IH B L IH NG
SCRIPTS(2)	S K R IH P S
SCULPTURING(2)	S K AH L P CH ER IH NG
SCUTTLING(2)	S K AH T L IH NG
SCYTHE(2)	S AY TH
SE(2)	S EY
SE(3)	EH S IY
SEARS'S(2)	S IH R Z
SEASONALLY(2)	S IY Z N AH L IY
SEATED(2)	S IY T IH D
SEAWATER(2)	S IY W AO T ER
SEBASTIANI(2)	S AH B AE S T Y AA N IY
SEBASTIANIS(2)	S AH B AE S T Y AA N IY Z
SECHRIST(2)	S IY K R IH S T
SECOND(2)	S EH K AH N
SECONDED(2)	S EH K AH N AH D
SECONDHAND(2)	S EH K AH N HH AE N D
SECONDLY(2)	S EH K AH N L IY
SECONDS(2)	S EH K AH N Z
SECRET(2)	S IY K R IH T
SECRETS(2)	S IY K R IH T S
SEEDED(2)	S IY D IH D
SEGA(2)	S EY G AH
SEGMENT(2)	S EH G M EH N T
SEGMENTED(2)	S EH G M EH N IH D
SEGMENTS(2)	S EH G M EH N T S
SEGREST(2)	S IY G R EH S T
SEGUE(2)	S EH G W EY
SEGUIN(2)	S IY G AH N
SEIGEL(2)	S IY G AH L
SEIGLER(2)	S IY G AH L ER
SEIGLER(3)	S IY G L ER
SELECTED(2)	S AH L EH K T IH D
SELF-SUFFICIENT(2)	S EH L F S AH F IH SH IH N T
SELINAS(2)	S AH L IY N AH S
SEMI(2)	S EH M AY
SEMI-COLON(2)	S EH M AH K OW L AH N
SEMI-HEIGHT(2)	S EH M IH HH AY T
SEMI-HEIGHT(3)	S EH M AY HH AY T
SEMI-HEIGHTS(2)	S EH M AY HH AY T S
SEMI-HEIGHTS(3)	S EH M IH HH AY T S
SEMIANNUAL(2)	S EH M AY AE N Y AH W AH L
SEMIANNUAL(3)	S EH M AH AE N Y AH W AH L
SEMIANNUALLY(2)	S EH M AY AE N UW AH L IY
SEMIANNUALLY(3)	S EH M IY AE N UW L IY
SEMIANNUALLY(4)	S EH M AY AE N UW L IY
SEMIAUTOMATIC(2)	S EH M AY AO T AH M AE T IH K
SEMIAUTOMATIC(3)	S EH M IH AO T AH M AE T IH K
SEMICIRCULAR(2)	S EH M AY S ER K Y AH L ER
SEMICIRCULAR(3)	S EH M AH S ER K Y AH L ER
SEMICLAD(2)	S EH M AY K L AE D
SEMICLAD(3)	S EH M AH K L AE D
SEMICLASSICAL(2)	S EH M IH K L AE S IH K AH L
SEMICLASSICAL(3)	S EH M AY K L AE S IH K AH L
SEMICONDUCTOR'S(2)	S EH M IH K AH N D AH K T ER Z
SEMICONDUCTOR'S(3)	S EH M AY K AH N D AH K T ER Z
SEMICONDUCTOR(2)	S EH M IH K AH N D AH K T ER
SEMICONDUCTOR(3)	S EH M AY K AH N D AH K T ER
SEMICONDUCTORS(2)	S EH M IH K AH N D AH K T ER Z
SEMICONDUCTORS(3)	S EH M AY K AH N D AH K T ER Z
SEMICYLINDRICAL(2)	S EH M IH S AH L IH N D R IH K AH L
SEMICYLINDRICAL(3)	S EH M AY S AH L IH N D R IH K AH L
SEMIDRY(2)	S EH M IH D R AY
SEMIDRY(3)	S EH M AY D R AY
SEMIDRYING(2)	S EH M IH D R AY IH NG
SEMIDRYING(3)	S EH M AY D R AY IH NG
SEMIFINAL(2)	S EH M IH F AY N AH L
SEMIFINAL(3)	S EH M AY F AY N AH L
SEMIFINALIST(2)	S EH M IH F AY N AH L IH S T
SEMIFINALIST(3)	S EH M AY F AY N AH L IH S T
SEMIFINALISTS(2)	S EH M IY F AY N AH L IH S
SEMIFINALISTS(3)	S EH M AY F AY N AH L IH S T S
SEMIFINALISTS(4)	S EH M AY F AY N AH L IH S
SEMIFINALS(2)	S EH M IH F AY N AH L Z
SEMIFINALS(3)	S EH M AY F AY N AH L Z
SEMIFINISH(2)	S EH M AY F IH N IH SH
SEMIFINISH(3)	S EH M IH F IH N IH SH
SEMIFINISHED(2)	S EH M AY F IH N IH SH T
SEMIFINISHED(3)	S EH M IH F IH N IH SH T
SEMIGLOSS(2)	S EH M IH G L AA S
SEMILEGENDARY(2)	S EH M IH L EH JH AH N D EH R IY
SEMIPERMANENT(2)	S EH M IH P ER M AH N AH N T
SEMIPERMANENT(3)	S EH M AY P ER M AH N AH N T
SEMIPRECIOUS(2)	S EH M IH P R EH SH AH S
SEMIPRECIOUS(3)	S EH M AY P R EH SH AH S
SEMIRELIGIOUS(2)	S EH M IH R IH L IH JH AH S
SEMIRELIGIOUS(3)	S EH M AY R IH L IH JH AH S
SEMISECRECY(2)	S EH M IH S IY K R AH S IY
SEMITRAILER(2)	S EH M IH T R EY L ER
SEMITROPICAL(2)	S EH M IH T R AA P IH K AH L
SEMITROPICAL(3)	S EH M AY T R AA P IH K AH L
SEN(2)	S EH N AH T ER
SENATE(2)	S EH N IH T
SENSE-DATA(2)	S EH N S D AE T AH
SENSE-DATAS(2)	S EH N S D AE T AH Z
SENSE-DATUM(2)	S EH N S D EY T AH M
SENSITIVE(2)	S EH N S IH T IH V
SENTENCES(2)	S EH N T AH N S IH Z
SENTIMENT(2)	S EH N AH M AH N T
SENTIMENTAL(2)	S EH N AH M EH N T AH L
SENTIMENTAL(3)	S EH N T AH M EH N AH L
SENTIMENTAL(4)	S EH N AH M EH N AH L
SENTIMENTALITY(2)	S EH N AH M EH N T AE L IH T IY
SENTIMENTS(2)	S EH N AH M AH N T S
SEO(2)	S EY OW
SEOW(2)	S IY AW
SEP(2)	EH S IY P IY
SEPARATE(2)	S EH P ER IH T
SEPARATE(3)	S EH P R AH T
SEPARATED(2)	S EH P ER EY T IH D
SEPARATELY(2)	S EH P R AH T L IY
SEPARATES(2)	S EH P ER IH T S
SEPARATISTS(2)	S EH P R AH T IH S T S
SEPHARDIM(2)	S EH F AA R D IY M
SEQUENCES(2)	S IY K W AH N S IH Z
SEQUIN(2)	S IY K W IH N
SEQUINS(2)	S IY K W IH N Z
SERENELY(2)	S ER IY N L IY
SERFIN(2)	S EH R F IH N
SERGEI(2)	S EH R G EY
SERGEY(2)	S EH R G EY
SERRANO'S(2)	S ER AE N OW Z
SERRANO(2)	S ER AE N OW
SERVICE(2)	S ER V IH S
SERVICES'(2)	S ER V AH S AH Z
SERVICES(2)	S ER V IH S IH Z
SESLER(2)	S EH S L ER
SETTLER(2)	S EH T L ER
SETTLERS(2)	S EH T AH L ER Z
SETTLING(2)	S EH T L IH NG
SEVENTIES(2)	S EH V AH N IY Z
SEVENTIETH(2)	S EH V AH N IY IH TH
SEVENTY(2)	S EH V AH N IY
SEVERAL(2)	S EH V ER AH L
SEVERANCE(2)	S EH V R AH N S
SEWAGE(2)	S UW IH JH
SEWELL(2)	S UW IH L
SEXES(2)	S EH K S IH Z
SFERNICE(2)	S AH F ER N IH S
SFFED(2)	EH S EH F EH D
SFFED(3)	EH S EH F EH F IY D IY
SHALNEV(2)	SH AA L N EH F
SHAMALIA(2)	SH AH M EY L Y AH
SHANA(2)	SH EY N AH
SHANSEV(2)	SH AE N S EH F
SHARON'S(2)	SH AE R AH N Z
SHARON'S(3)	SH AH R OW N Z
SHARON(2)	SH EH R AH N
SHARON(3)	SH AH R OW N
SHARPENING(2)	SH AA R P N IH NG
SHATZ(2)	SH AA T S
SHAVELSON(2)	SH AE V AH L S IH N
SHEEHAN'S(2)	SH IY HH AH N Z
SHEEHAN(2)	SH IY HH AH N
SHEEHY(2)	SH IY IY
SHERIFF'S(2)	SH EH R IH F S
SHERIFF(2)	SH EH R IH F
SHIDLER(2)	SH AY D L ER
SHIFTED(2)	SH IH F T IH D
SHIMBUN(2)	SH IH M B UW N
SHIMON(2)	SH IY M AH N
SHISLER(2)	SH IH S L ER
SHIVELEY(2)	SH IH V L IY
SHOREHAM(2)	SH AO R HH AE M
SHORENSTEIN(2)	SH AO R AH N S T AY N
SHORTAGE(2)	SH AO R T IH JH
SHORTAGES(2)	SH AO R T IH JH IH Z
SHORTENING(2)	SH AO R T N IH NG
SHORTLIVED(2)	SH AO R T L AY V D
SHOUTED(2)	SH AW T IH D
SHOWROOM(2)	SH OW R UW M
SHREDDED(2)	SH R EH D IH D
SHRIVELING(2)	SH R IH V L IH NG
SHUFFLER(2)	SH AH F L ER
SHUFFLERS(2)	SH AH F L ER Z
SHUFFLING(2)	SH AH F UH L IH NG
SHUTTLING(2)	SH AH T L IH NG
SIANG(2)	SH AE NG
SICKENING(2)	S IH K N IH NG
SIDED(2)	S AY D IH D
SIDLER(2)	S AY D L ER
SIDLING(2)	S AY D L IH NG
SIE(2)	EH S AY IY
SIEBENALER(2)	S IY B IH N AA L ER
SIEJA(2)	S EY JH AH
SIEMENS'S(2)	S IY M AH N Z IH Z
SIGHTED(2)	S AY T IH D
SIGHTSEER(2)	S AY T S IY R
SIGHTSEERS(2)	S AY T S IY R Z
SIGLER(2)	S AY G L ER
SIGLER(3)	S IH G L ER
SIGNIFICANCE(2)	S IH G N IH F IH K AH N S
SIGNIFICANT(2)	S IH G N IH F IH K AH N T
SIGNORI(2)	S IY N Y AO R IY
SILBERSTEIN(2)	S IH L B ER S T AY N
SILEX(2)	S AY L EH K S
SILICA(2)	S IH L IH K AH
SILICATE(2)	S IH L AH K EY T
SILICATES(2)	S IH L AH K EY T S
SILVA(2)	S EH L V AH
SILVERSTEIN(2)	S IH L V ER S T AY N
SIMEX(2)	S AY M EH K S
SIMLER(2)	S IH M L ER
SIMONTON(2)	S IH M AA N T AH N
SIMPLER(2)	S IH M P L ER
SIMPLICITY(2)	S IH M P L IH S IH T IY
SIMULATE(2)	S IH M Y AH L EY T
SIMULATIONS(2)	S IH M Y AH L EY SH AH N Z
SIMULCAST(2)	S IH M Y AH L K AE S T
SINEAD(2)	SH IH N IY D
SINGLER(2)	S IH NG G L ER
SINGLING(2)	S IH NG G L IH NG
SINOPOLI(2)	S IY N AA P OW L IY
SIPELSTEIN(2)	S IH P AH L S T IY N
SIRHAN(2)	S IH R HH AE N
SIRIS(2)	S IH R IH S
SISLER(2)	S IH S L ER
SITLER(2)	S AY T L ER
SITLER(3)	S IH T L ER
SIZES(2)	S AY Z IH Z
SIZZLING(2)	S IH Z L IH NG
SKANDIA(2)	S K AE N D IY AH
SKANDIA(3)	S K AE N D Y AH
SKEPTICAL(2)	S K EH P T IH K AH L
SKEPTICALLY(2)	S K EH P T IH K L IY
SKETCHES(2)	S K EH CH IH Z
SKIBO(2)	S K IY B OW
SKIDDED(2)	S K IH D IH D
SKIER(2)	S K IY ER
SLANTED(2)	S L AE N T IH D
SLANTED(3)	S L AE N AH D
SLANTED(4)	S L AE N IH D
SLAVONIA(2)	S L AH V OW N Y AH
SLEPIAN(2)	S L IY P Y AH N
SLICES(2)	S L AY S IH Z
SLIPPERY(2)	S L IH P R IY
SLOVAK(2)	S L OW V AA K
SLOVAKIA'S(2)	S L OW V AE K IY AH Z
SLOVAKS(2)	S L OW V AA K S
SLOVONIA(2)	S L AH V OW N Y AH
SMILGIS(2)	S M IH L JH IH Z
SMITHSONIAN'S(2)	S M IH S OW N IY AH N Z
SMITHSONIAN(2)	S M IH S OW N IY AH N
SMREKAR(2)	S M ER IH K ER
SMUGGLER(2)	S M AH G AH L ER
SMUGGLERS'(2)	S M AH G AH L ER Z
SMUGGLERS(2)	S M AH G AH L ER Z
SMUGGLING(2)	S M AH G AH L IH NG
SMYTH(2)	S M IH TH
SOBIBOR(2)	S OW B IH B AO R
SOBRIQUET(2)	S AH B R AH K EH T
SOCIALIST(2)	S OW SH AH L IH S T
SOCIALISTS(2)	S OW SH AH L IH S T S
SOCO'S(2)	S AA K OW Z
SOCO(2)	S AA K OW
SOFT(2)	S AO F T
SOFTBALL(2)	S AO F B AO L
SOFTBALLS(2)	S AO F B AO L Z
SOFTEN(2)	S AO F AH N
SOFTENING(2)	S AO F N IH NG
SOFTER(2)	S AO F T ER
SOFTLY(2)	S AO F L IY
SOFTNESS(2)	S AO F N AH S
SOFTSOAP(2)	S AO F S OW P
SOFTSPOKEN(2)	S AO F S P OW K AH N
SOFTWARE'S(2)	S AO F W EH R Z
SOFTWARE(2)	S AO F W EH R
SOL(2)	S OW L
SOLACE(2)	S OW L IH S
SOLINGEN(2)	S AA L IH NG G EH N
SOLOIST(2)	S OW L OW IH S T
SOMALIA'S(2)	S AH M AA L Y AH Z
SOMALIA(2)	S AH M AA L Y AH
SOMALIAS(2)	S AH M AA L Y AH Z
SOMEBODY(2)	S AH M B AH D IY
SOMEWHAT(2)	S AH M HH W AH T
SOPHISTICATE(2)	S AH F IH S T AH K AH T
SOPHISTICATED(2)	S AH F IH S T IH K EY T AH D
SOPRANO(2)	S AH P R AE N OW
SORBET(2)	S AO R B EH T
SOUNDED(2)	S AW N D IH D
SOUNDS(2)	S AW N Z
SOUNDTRACK(2)	S AW N T R AE K
SOUNDTRACKS(2)	S AW N T R AE K S
SOUR(2)	S AW R
SOURS(2)	S AW R Z
SOUTER(2)	S AW T ER
SOVIET(2)	S OW V IY EH T
SOW(2)	S OW
SOWED(2)	S OW D
SOYUZ'S(2)	S OY UW Z IH Z
SOYUZ(2)	S OY UW Z
SPACEK(2)	S P AA S EH K
SPACES(2)	S P EY S IH Z
SPALINK(2)	S P AA L IH NG K
SPANGLER(2)	S P AE NG G L ER
SPARKLING(2)	S P AA R K AH L IH NG
SPAWN(2)	S P AO N
SPAWNING(2)	S P AO N IH NG
SPAWNS(2)	S P AO N Z
SPECIALIST(2)	S P EH SH AH L IH S T
SPECIALISTS(2)	S P EH SH AH L IH S T S
SPECIALIZES(2)	S P EH SH AH L AY Z IH Z
SPECIALLY(2)	S P EH SH L IY
SPECIALTY(2)	S P EY SH AH L T IY
SPECIFIC(2)	S P IH S IH F IH K
SPECTRAMED(2)	S P EH K T R AH M EH D
SPECULATED(2)	S P EH K Y AH L EY T IH D
SPEECHES(2)	S P IY CH IH Z
SPENDS(2)	S P EH N Z
SPENGLER(2)	S P IH NG L ER
SPICES(2)	S P AY S IH Z
SPINDLER(2)	S P IH N D L ER
SPIRIT(2)	S P IH R IH T
SPIRITUAL(2)	S P IH R IH CH W AH L
SPIRITUALISM(2)	S P IH R IH CH W AH L IH Z M
SPIRITUALS(2)	S P IH R IH CH W AH L Z
SPLASHES(2)	S P L AE SH IH Z
SPLENDID(2)	S P L EH N D IH D
SPLENIC(2)	S P L IY N IH K
SPOILAGE(2)	S P OY L IH JH
SPOKANE(2)	S P OW K EY N
SPONSLER(2)	S P AA N S L ER
SPOTTED(2)	S P AA T IH D
SPOUSES(2)	S P AW S IH Z
SPRING(2)	S P ER IH NG
SPRINGS(2)	S P ER IH NG Z
SPRINKLER(2)	S P R IH NG K AH L ER
SPRINKLERS(2)	S P R IH NG K AH L ER Z
SPRINKLING(2)	S P R IH NG K AH L IH NG
SPROUTED(2)	S P R AW T IH D
SPURIOUS(2)	S P ER IY AH S
SQUABBLING(2)	S K W AA B L IH NG
SQUIRTED(2)	S K W ER T IH D
SR(2)	S IH S T ER
SRAM(2)	EH S R AE M
SREBRENICA'S(2)	SH R EY B R AH N IY T S AH Z
SREBRENICA(2)	SH R EY B R AH N IY T S AH
SRI(2)	EH S AA R AY
SRI(3)	S R IY
SRI-LANKA(2)	SH R IY L AE NG K AH
SRINAGAR(2)	SH R IY N AH G AA R
SRINAGARB(2)	SH R IY N AH G AA R B
SRINIVASAN(2)	SH R IY N IY V AA S AA N
SRIRAM(2)	SH R IY R AA M
SRIVASTAVA(2)	SH R IY V AA S T AA V AH
ST(2)	S EY N T
STA(2)	EH S T IY EY
STABILIZES(2)	S T EY B AH L AY Z IH Z
STABLER(2)	S T EY B L ER
STAFFORDSHIRE'S(2)	S T AE F ER D SH AY ER Z
STAFFORDSHIRE(2)	S T AE F ER D SH AY ER
STAGES(2)	S T EY JH IH Z
STAMPEDED(2)	S T AE M P IY D IH D
STANGELAND(2)	S T EY NG G L AH N D
STANGLER(2)	S T AE NG G L ER
STAPLER(2)	S T EY P L ER
STAPLERS(2)	S T EY P L ER Z
STAPLING(2)	S T EY P L IH NG
STARBOARDS(2)	S T AA R B AO R D Z
STARTED(2)	S T AA R T IH D
STATED(2)	S T EY T IH D
STATISTICALLY(2)	S T AH T IH S T IH K L IY
STATUS(2)	S T EY T AH S
STATUTORILY(2)	S T AE CH Y UW T AO R AH L IY
STATZER(2)	S T EY T Z ER
STDS(2)	EH S T IY D IY EH S
STENA(2)	S T EH N AH
STENA(3)	S T EY N AH
STENCILING(2)	S T EH N S L IH NG
STEPHENS(2)	S T EH F AH N Z
STEREOTYPE(2)	S T EH R IY OW T AY P
STEREOTYPED(2)	S T EH R IY OW T AY P T
STEREOTYPES(2)	S T EH R IY OW T AY P S
STEREOTYPICAL(2)	S T EH R IY AH T IH P IH K AH L
STEREOTYPING(2)	S T EH R IY OW T AY P IH NG
STERILIZATION(2)	S T EH R AH L IH Z EY SH AH N
STERILIZATIONS(2)	S T EH R AH L IH Z EY SH AH N Z
STERNNESS(2)	S T ER N AH S
STETHEM(2)	S T EH T AH M
STEUBEN(2)	S T UW B IH N
STEVENS'S(2)	S T IY V AH N Z IH Z
STICKLER(2)	S T IH K L ER
STIEFELHAGEN(2)	S T AY F AH L HH EY G AH N
STIFFENING(2)	S T IH F N IH NG
STIFLING(2)	S T AY F AH L IH NG
STIKELEATHER(2)	S T IH K L EH DH ER
STIKELEATHER(3)	S T AY K L EH DH ER
STIMULATED(2)	S T IH M Y AH L EY T IH D
STINEL'S(2)	S T IH N EH L Z
STINEL(2)	S T IH N EH L
STONEBRAKER(2)	S T OW N B R EY K ER
STONECYPHER(2)	S T OW N S AY F ER
STORAGE(2)	S T AO R IH JH
STOUFFER(2)	S T OW F ER
STOUFFS(2)	S T OW F S
STRAIGHTENING(2)	S T R EY T N IH NG
STRANDED(2)	S T R AE N D IH D
STRANDLINE(2)	S T R AE N L AY N
STRANDLINES(2)	S T R AE N L AY N Z
STRANGLING(2)	S T R AE NG G L IH NG
STRAUM(2)	S T R AA M
STREISAND'S(2)	S T R AY S AE N D Z
STREISAND(2)	S T R AY S AE N D
STRENGTH(2)	S T R EH NG TH
STRENGTHS(2)	S T R EH NG TH S
STREPTOKINASE(2)	S T R EH P T OW K AY N EY Z
STRESSES(2)	S T R EH S IH Z
STRETCHES(2)	S T R EH CH IH Z
STRIBLING(2)	S T R IH B L IH NG
STRONGER(2)	S T R AO NG G ER
STROSSEN(2)	S T R AO S IH N
STRUGGLING(2)	S T R AH G L IH NG
STRZELECKI(2)	S T ER Z IH L EH T S K IY
STUART'S(2)	S T Y UW ER T S
STUART'S(3)	S T AO R T S
STUART(2)	S T Y UW ER T
STUART(3)	S T AO R T
STUBBORNNESS(2)	S T AH B ER N AH S
STUDEMAN(2)	S T UW D AH M AH N
STUHR(2)	S T UH R
STUMBLING(2)	S T AH M B L IH NG
STUPID(2)	S T UW P IH D
STURGEON(2)	S T ER JH IH N
STUTTGART(2)	S T UW T G AA R T
STUTTGART(3)	SH T UW T G AA R T
STYLIZE(2)	S T AY AH L AY Z
ST_CYR(2)	S EY N T S IH R
ST_GERMAINE(2)	S AA N ZH ER M EY N
ST_JACQUES(2)	S AA N ZH AA K S
ST_LAURENT(2)	S AA N L AO R AO N T
ST_LOUIS(2)	S EY N T L UW IY
ST_LUCIA(2)	S EY N T L UW S IY AH
SU(2)	EH S Y UW
SUARD(2)	S W AA R D
SUBJECT(2)	S AH B JH IH K T
SUBJECTS'(2)	S AH B JH EH K S
SUBJECTS(2)	S AH B JH EH K T S
SUBJECTS(3)	S AH B JH EH K S
SUBORDINATE(2)	S AH B AO R D AH N AH T
SUBORDINATES(2)	S AH B AO R D AH N AH T S
SUBSIDIES(2)	S AH B S IH D IY Z
SUBSTANCES(2)	S AH B S T AH N S IH Z
SUBSTANTIAL(2)	S AH B S T AE N SH AH L
SUBSTANTIALLY(2)	S AH B S T AE N CH AH L IY
SUBSTANTIATE(2)	S AH B S T AE N SH IY EY T
SUBSTANTIATED(2)	S AH B S T AE N CH IY EY T IH D
SUBSTANTIATES(2)	S AH B S T AE N SH IY EY T S
SUBSTANTIATION(2)	S AH B S T AE N SH IY EY SH AH N
SUBTLER(2)	S AH T L ER
SUBZERO(2)	S AH B Z IY R OW
SUCCEEDED(2)	S AH K S IY D IH D
SUCCESSES(2)	S AH K S EH S IH Z
SUDLER(2)	S UW D L ER
SUFFERING(2)	S AH F R IH NG
SUFFERINGS(2)	S AH F R IH NG Z
SUGGESTED(2)	S AH G JH EH S T IH D
SUI(2)	S W IY
SUICIDE(2)	S UW IH S AY D
SUISSE'S(2)	S W IY S IH Z
SUISSE(2)	S W IY S
SUITED(2)	S UW T IH D
SUKRU(2)	S UW K R UW
SULLIVAN(2)	S AH L IH V AH N
SUMMIT(2)	S AH M IH T
SUMPTUOUS(2)	S AH M P CH UW AH S
SUNDAY'S(2)	S AH N D IY Z
SUNDAY(2)	S AH N D IY
SUNDAYS(2)	S AH N D IY Z
SUPERINTENDANT(2)	S UW P ER IH N T EH N D AH N T
SUPERINTENDENT(2)	S UW P ER IH N T EH N D AH N T
SUPERINTENDENTS(2)	S UW P ER IH N T EH N D AH N T S
SUPERMAN(2)	S UW P ER M AE N
SUPERPREMIUM(2)	S UW P ER P R IY M Y AH M
SUPINE(2)	S UW P AY N
SUPPLEMENT(2)	S AH P L AH M EH N T
SUPPLEMENTAL(2)	S AH P L AH M EH N AH L
SUPPLEMENTARY(2)	S AH P L AH M EH N ER IY
SUPPLEMENTARY(3)	S AH P L AH M EH N T R IY
SUPPLEMENTARY(4)	S AH P L AH M EH N CH R IY
SUPPLEMENTING(2)	S AH P L AH M EH N T IH NG
SUPPLEMENTS(2)	S AH P L AH M EH N T S
SUPPORTED(2)	S AH P AO R T IH D
SUPREME(2)	S ER P R IY M
SUPRISINGLY(2)	S ER P R AY Z IH NG L IY
SURFACES(2)	S ER F AH S IH Z
SURGEON(2)	S ER JH IH N
SURGES(2)	S ER JH IH Z
SURGICALLY(2)	S ER JH IH K L IY
SURPRISE(2)	S AH P R AY Z
SURPRISED(2)	S AH P R AY Z D
SURPRISES(2)	S AH P R AY Z IH Z
SURPRISING(2)	S AH P R AY Z IH NG
SURPRISINGLY(2)	S AH P R AY Z IH NG L IY
SURREALISM'S(2)	S ER IY AH L IH Z AH M Z
SURREALISM(2)	S ER IY AH L IH Z AH M
SURREALISMS(2)	S ER IY AH L IH Z AH M Z
SURREALISTIC(2)	S ER IY AH L IH S T IH K
SURREBUTTAL(2)	S ER IY B AH T AH L
SURROGATE(2)	S ER AH G EY T
